指标名称,深证成份指数
2011-10-13,10481.84
2011-10-14,10438.261
2011-10-17,10513.489
2011-10-18,10226.927
2011-10-19,10105.74
2011-10-20,9796.234
2011-10-21,9697.212
2011-10-24,9957.622
2011-10-25,10203.4
2011-10-26,10315.748
2011-10-27,10323.288
2011-10-28,10561.993
2011-10-31,10480.912
2011-11-01,10441.702
2011-11-02,10581.751
2011-11-03,10624.117
2011-11-04,10699.488
2011-11-07,10591.66
2011-11-08,10541.102
2011-11-09,10625.881
2011-11-10,10477.553
2011-11-11,10418.934
2011-11-14,10645.684
2011-11-15,10582.998
2011-11-16,10313.332
2011-11-17,10303.16
2011-11-18,10025.168
2011-11-21,10033.793
2011-11-22,10028.204
2011-11-23,9957.318
2011-11-24,9966.743
2011-11-25,9886.245
2011-11-28,9884.696
2011-11-29,10012.937
2011-11-30,9693.385
2011-12-01,9917.863
2011-12-02,9808.231
2011-12-05,9586.084
2011-12-06,9586.944
2011-12-07,9606.247
2011-12-08,9580.517
2011-12-09,9480.266
2011-12-12,9376.279
2011-12-13,9190.875
2011-12-14,9093.025
2011-12-15,8871.088
2011-12-16,9081.94
2011-12-19,9054.08
2011-12-20,9031.669
2011-12-21,8884.253
2011-12-22,8909.348
2011-12-23,8976.521
2011-12-26,8876.194
2011-12-27,8711.552
2011-12-28,8739.728
2011-12-29,8781.319
2011-12-30,8918.816
2012-01-04,8695.987
2012-01-05,8600.259
2012-01-06,8634.418
2012-01-09,8946.085
2012-01-10,9281.245
2012-01-11,9239.213
2012-01-12,9200.926
2012-01-13,9030.588
2012-01-16,8827.474
2012-01-17,9264.09
2012-01-18,9115.269
2012-01-19,9300.217
2012-01-20,9466.144
2012-01-30,9274.852
2012-01-31,9303.649
2012-02-01,9193.388
2012-02-02,9382.127
2012-02-03,9436.992
2012-02-06,9448.642
2012-02-07,9266.714
2012-02-08,9557.575
2012-02-09,9560.727
2012-02-10,9590.954
2012-02-13,9585.076
2012-02-14,9543.775
2012-02-15,9673.439
2012-02-16,9622.83
2012-02-17,9615.339
2012-02-20,9616.649
2012-02-21,9695.87
